"","count","ncat","improve","index","adj"
"udel_air_temp_v4_01_yearly_max.2002.mean",536,-1,8.2488391202732e-09,23.6286637656498,0
"longitude",536,-1,8.17668299430188e-09,33.786728,0
"udel_precip_v4_01_yearly_max.2002.mean",536,-1,8.16085682710487e-09,117.981850159674,0
"srtm_elevation_500m.na.mean",536,-1,8.16013873740244e-09,1249.20188110523,0
"ltdr_yearly_ndvi_mean.2002.mean",536,-1,8.12269764956365e-09,2758.71510957,0
"srtm_elevation_500m.na.mean",0,1,0.925373134328358,1303.75768692349,0.540229885057471
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.884328358208955,11.2190093981188,0.287356321839081
"srtm_slope_500m.na.mean",0,1,0.865671641791045,11.7706626467785,0.172413793103448
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.858208955223881,-4.2211477637225,0.126436781609196
"latitude",0,-1,0.843283582089552,-28.738803,0.0344827586206896
"ltdr_yearly_ndvi_mean.2002.mean",87,-1,1.38286314679038e-08,2355.671824265,0
"srtm_elevation_500m.na.mean",87,-1,1.35620453464328e-08,461.0526642807,0
"srtm_slope_500m.na.mean",87,-1,1.34827766228955e-08,0.345421115748219,0
"latitude",87,-1,1.30721976036581e-08,13.448702,0
"wdpa_5km.na.sum",87,-1,1.30349463884618e-08,110.780002594,0
"treecover2000.na.mean",0,-1,0.747126436781609,15.2284312185,0.3125
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.71264367816092,16.7473485590464,0.21875
"dist_to_roads.na.mean",0,1,0.701149425287356,2070.99336931977,0.1875
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.701149425287356,187.494546951593,0.1875
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.701149425287356,16.912017082188,0.1875
"accessibility_map.na.mean",55,1,1.04742691487925e-07,883.858839983556,0
"udel_precip_v4_01_yearly_mean.2002.mean",55,-1,1.03130713552859e-07,110.841666666667,0
"longitude",55,-1,1.03051784818795e-07,84.846568,0
"treecover2000.na.mean",55,-1,1.01980782020126e-07,51.41012837155,0
"dist_to_roads.na.mean",55,1,1.00446742578746e-07,11286.9988758728,0
"dist_to_roads.na.mean",0,1,0.945454545454545,19812.3162691024,0.5
"srtm_slope_500m.na.mean",0,1,0.945454545454545,20.1827394648399,0.5
"udel_air_temp_v4_01_yearly_max.2002.mean",0,-1,0.927272727272727,9.23411063573493,0.333333333333333
"ltdr_yearly_ndvi_mean.2002.mean",0,-1,0.927272727272727,1097.55068393,0.333333333333333
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.909090909090909,-13.24404764515,0.166666666666667
"dist_to_roads.na.mean",6,-1,3.19736840530947e-07,9751.93972804418,0
"udel_precip_v4_01_yearly_min.2002.mean",6,-1,3.19736840530947e-07,2.22839388638113,0
"srtm_slope_500m.na.mean",6,-1,3.02260581224861e-07,20.7149244895088,0
"wdpa_5km.na.sum",6,-1,3.02260581224861e-07,32.8850002289,0
"udel_air_temp_v4_01_yearly_min.2002.mean",6,-1,3.02260581224861e-07,-11.3730233856096,0
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,1,2.22839388638113,1
"dist_to_all_rivers.na.mean",0,1,0.833333333333333,2245.79479152067,0.5
"srtm_elevation_500m.na.mean",0,1,0.833333333333333,3013.19625878735,0.5
"srtm_slope_500m.na.mean",0,1,0.833333333333333,19.1582442752392,0.5
"gpw_v3_density.2000.mean",0,-1,0.833333333333333,69.8909532214576,0.5
"latitude",49,-1,1.91912537158381e-07,10.663297,0
"longitude",49,-1,1.91610622621004e-07,84.313983,0
"treecover2000.na.mean",49,-1,1.89830091301828e-07,42.8473245512,0
"udel_precip_v4_01_yearly_mean.2002.mean",49,-1,1.88281834295202e-07,110.841666666667,0
"udel_air_temp_v4_01_yearly_min.2002.mean",49,1,1.84891490515544e-07,16.3748944301066,0
"udel_air_temp_v4_01_yearly_min.2002.mean",0,1,0.795918367346939,14.525,0.473684210526316
"treecover2000.na.mean",0,1,0.755102040816326,6.916896568975,0.368421052631579
"udel_precip_v4_01_yearly_mean.2002.mean",0,1,0.755102040816326,61.8166666666667,0.368421052631579
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,1,0.755102040816326,15.4771153987793,0.368421052631579
"udel_precip_v4_01_yearly_max.2002.mean",0,1,0.73469387755102,158.625827530457,0.315789473684211
"longitude",19,-1,1.69531296707167e-06,37.090833,0
"dist_to_all_rivers.na.mean",19,-1,1.65822797153613e-06,1509.08133808581,0
"gpw_v3_density.2000.mean",19,-1,1.43941167293701e-06,135.250704914902,0
"srtm_slope_500m.na.mean",19,-1,1.42898170898971e-06,3.67927760864047,0
"udel_air_temp_v4_01_yearly_min.2002.mean",19,-1,1.42790535386981e-06,14.7033880708048,0
"dist_to_all_rivers.na.mean",0,1,0.947368421052632,1509.08133808581,0.8
"latitude",0,-1,0.947368421052632,1.432031,0.8
"udel_precip_v4_01_yearly_max.2002.mean",0,-1,0.894736842105263,279.726597136649,0.6
"udel_precip_v4_01_yearly_mean.2002.mean",0,-1,0.894736842105263,103.687403792688,0.6
"srtm_elevation_500m.na.mean",0,1,0.842105263157895,1256.02412445796,0.4
"treecover2000.na.mean",30,1,2.76612602121339e-07,11.20902214147,0
"ltdr_yearly_ndvi_mean.2002.mean",30,1,2.67006532746936e-07,2044.065604195,0
"longitude",30,1,2.62377988428309e-07,84.313983,0
"latitude",30,1,2.49595205466832e-07,37.511469,0
"udel_air_temp_v4_01_yearly_max.2002.mean",30,1,2.43998933292088e-07,21.1220318814051,0
"udel_precip_v4_01_yearly_mean.2002.mean",0,1,0.966666666666667,118.216518150164,0.75
"longitude",0,1,0.933333333333333,84.313983,0.5
"udel_precip_v4_01_yearly_max.2002.mean",0,1,0.933333333333333,531.8,0.5
"accessibility_map.na.mean",0,1,0.9,576.917991043067,0.25
"ltdr_yearly_ndvi_mean.2002.mean",0,1,0.9,2157.57119154,0.25
"dist_to_roads.na.mean",26,1,1.30357336886153e-06,2107.39674390874,0
"ltdr_yearly_ndvi_mean.2002.mean",26,-1,1.0038041852002e-06,1654.6385334,0
"udel_air_temp_v4_01_yearly_max.2002.mean",26,-1,9.88055512233941e-07,22.7572685674265,0
"wdpa_5km.na.sum",26,1,9.62774016418305e-07,0.9149999916545,0
"gpw_v3_density.2000.mean",26,1,9.50462395943977e-07,298.460032475632,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",0,-1,0.923076923076923,19.6069366756504,0.666666666666667
"udel_precip_v4_01_yearly_min.2002.mean",0,-1,0.884615384615385,11.1889343551207,0.5
"udel_air_temp_v4_01_yearly_min.2002.mean",0,-1,0.884615384615385,14.989339617285,0.5
"gpw_v3_density.2000.mean",0,-1,0.846153846153846,266.239351818748,0.333333333333333
"accessibility_map.na.mean",0,1,0.807692307692308,128.667930172826,0.166666666666667
"dist_to_roads.na.mean",20,-1,1.73318625334928e-06,10225.3614416905,0
"udel_air_temp_v4_01_yearly_max.2002.mean",20,1,1.70358198144586e-06,21.1220318814051,0
"dist_to_all_rivers.na.mean",20,-1,1.67817117651161e-06,3569.22910120472,0
"v4composites_calibrated.2002.mean",20,1,1.63677646158171e-06,0.425052689422,0
"longitude",20,1,1.6026982238614e-06,37.164338,0
"dist_to_roads.na.mean",18,1,2.34847971710854e-06,3230.64617446538,0
"udel_air_temp_v4_01_yearly_mean.2002.mean",18,-1,2.31352063421323e-06,15.7517496605759,0
"udel_air_temp_v4_01_yearly_min.2002.mean",18,-1,2.31352063421323e-06,9.85,0
"dist_to_all_rivers.na.mean",18,-1,2.27937384495121e-06,3569.22910120472,0
"udel_precip_v4_01_yearly_mean.2002.mean",18,-1,2.08495298087306e-06,51.1444465420101,0
"accessibility_map.na.mean",0,1,0.833333333333333,269.93480098273,0.625
"srtm_elevation_500m.na.mean",0,1,0.777777777777778,1763.86516946835,0.5
"wdpa_5km.na.sum",0,-1,0.777777777777778,274.4900054935,0.5
"udel_precip_v4_01_yearly_min.2002.mean",0,1,0.777777777777778,5.85,0.5
"dist_to_all_rivers.na.mean",0,-1,0.722222222222222,2491.92986835752,0.375
"wdpa_5km.na.sum",10,-1,7.11282543029391e-06,0.57999998331,0
"udel_precip_v4_01_yearly_mean.2002.mean",10,-1,5.99301717031956e-06,51.1444465420101,0
"ltdr_yearly_ndvi_mean.2002.mean",10,-1,5.99301717031956e-06,1519.87254482,0
"dist_to_roads.na.mean",10,-1,5.61203885318389e-06,3931.68081482031,0
"udel_precip_v4_01_yearly_max.2002.mean",10,-1,5.3096850182075e-06,117.381694991024,0
"dist_to_roads.na.mean",0,-1,0.9,3931.68081482031,0.5
"v4composites_calibrated.2002.mean",0,1,0.9,0.000620856659855,0.5
"latitude",32,-1,1.76256906753151e-08,7.0774085,0
"srtm_elevation_500m.na.mean",32,-1,1.72709812714257e-08,461.0526642807,0
"srtm_slope_500m.na.mean",32,-1,1.72709812714257e-08,0.445901196812515,0
"longitude",32,-1,1.72006361677779e-08,28.762568,0
"udel_air_temp_v4_01_yearly_min.2002.mean",32,-1,1.71992089933794e-08,9.87727280301003,0
"longitude",0,-1,0.875,35.894633,0.75
"dist_to_roads.na.mean",0,-1,0.8125,1694.62078192446,0.625
"accessibility_map.na.mean",0,-1,0.75,163.262678485039,0.5
