"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"4",1522.2041015625,1023.4420776367,1037.0487528345,0.5722418427,137.6982758621,5.1594386101,0,0.8339224886,-29,24,76.775,0,30.6916666667,25.325,9.45,19.1791666667,0.2908704883,2165.7824707,1,0,0.852788604265139,0.852788604265139,0,0.852788604265139,1.0933157282911,260,"Southern Africa Biodiversity Support Programme"
"15",1561.7456054688,5552.6938476563,368.5129950495,3.6674420834,248.4392523364,11.1376104355,0,16.3766447523,-15.5,33,244.025,0,76.3270833333,30.2,23.375,26.5666666667,0,2925.89160156,1,-2,0.831312147354122,0.831312147354122,-2.40583516837273,0.831312147354122,-0.722453047661766,2003,"Transfrontier Conservation Areas and Sustainable Tourism Development Project"
"23",2084.5334472656,2002.5631103516,269.5267080745,0.1427975744,246.1126760563,23.0271282196,0,0.6266256636,14.659,-4.908,110.1,0,27.3333333333,34.3,24.2,29.3833333333,0,2035.25927734,1,-3,0.629638767956266,0.629638767956266,-4.76463672930694,0.629638767956266,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"24",1610.7583007813,2703.2043457031,265.398757764,0.1492072642,257.1451990632,6.6163945198,0,4.71218004298e-06,15.373,-4.488,75.25,0,21.1625,34.7,23.85,29.4916666667,0,1514.24133301,1,-3,0.60796722680283,0.60796722680283,-4.93447651080859,0.60796722680283,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"25",1585.2655029297,3201.654296875,265.828464885,0.1444931924,102.5118483412,27.3680744171,0,0.2213745868,14.77995,-4.09297,92.1,0,26.7833333333,34.6,24.1,29.5333333333,0,1533.06567383,1,-3,0.591720721072884,0.591720721072884,-5.0699593459572,0.591720721072884,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"26",1003.2177734375,3939.5695800781,545.8793316832,0.7233433723,269.7359813084,23.709690094,1,0.010353792,14.7,-3.4,113.1,0,31.4916666667,33.3,22.3,28.0916666667,0,1630.31884766,1,-3,0.652225670086569,0.652225670086569,-4.59963496929186,0.652225670086569,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"27",1289.5385742188,12342.3994140625,294.8459657702,0.340739429,1018.662037037,0.1451878101,0,0,18,-2,40.425,0,8.1541666667,36.375,21.6,30.05,0,1041.79174805,1,-1,0.671582643943845,0.671582643943845,-1.48902001714567,0.671582643943845,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"28",1589.4876708984,2942.0771484375,270.3973799127,0.1199702322,190.2558685446,57.6348953247,0,1.1920621671,13.916,-4.595,123.65,0,30.0333333333,34.3,24.65,29.5166666667,0.485645933,1764.88134766,1,-3,0.611636106901291,0.611636106901291,-4.90487720746048,0.611636106901291,-0.722453047661766,1152,"Biodiversity Conservation and Participatory Sustainable Management of Natural Resources in the Inner Niger Delta and its Transition Areas, Mopti Region"
"32",3465.9426269531,274.7145996094,1523.5443037975,6.4136433601,55.580952381,1541.6683349609,0,60.7433308,10,-84,511.85,131.975,309.8520833333,24.55,22.7,23.5395833333,32.2158273381,1564.54370117,1,-2,0.938633223860115,0.938633223860115,-2.13075773279687,0.938633223860115,1.0933157282911,1571,"EcoEnterprises Fund"
"33",2594.3972167969,4302.6020507813,248.7640931373,0.9290698171,310.2731481481,9.2027301788,0,89.9656071053,-17,-65,546.275,112.1,277.4479166667,30.525,23.075,28.0083333333,0,3272.83007812,1,0,0.937431788349155,0.937431788349155,0,0.937431788349155,-0.722453047661766,1571,"EcoEnterprises Fund"
"34",1185.5339355469,1135.3385009766,80.5395408163,1.6629638672,95.9759615385,118.0182189941,1,37.4337480162,9,-80,398.35,25.3,219,28.15,26.4,27.1625,0.1822541966,2231.72607422,1,-2,0.936195631518441,0.936195631518441,-2.13630563171519,0.936195631518441,1.0933157282911,1571,"EcoEnterprises Fund"
"35",1709.1728515625,749.8591308594,75.5729166667,1.0051132441,115.2453703704,8.7307538986,1,81.7064536911,17.25,-88.75,271.1,0,151.575,28.1,23.7,26.0833333333,4.7599067599,3727.06542969,1,0,0.983677223479112,0.983677223479112,0,0.983677223479112,1.0933157282911,1571,"EcoEnterprises Fund"
"38",998.8021850586,4523.10546875,323.8664556962,2.5305550098,526.0404761905,2.007298708,0,86.9573224112,-10,-75.25,350.85,48.25,167.7875,37.15,34.85,36.475,0,3266.46582031,1,-3,0.919528812940026,0.919528812940026,-3.26254050746713,0.919528812940026,-0.722453047661766,1571,"EcoEnterprises Fund"
"40",1582.7681884766,5941.7744140625,85.4470238095,0.2051924318,560.8165137615,0.7349454165,0,49.133160354,-23.33333,-58,166.45,8.25,75.8541666667,29.75,18.7,25.5291666667,0,3853.20996094,1,0,0.960102564238968,0.960102564238968,0,0.960102564238968,-0.722453047661766,1571,"EcoEnterprises Fund"
"41",1856.6192626953,6651.1982421875,197.8146341463,0.4054962099,216.7415730337,0.7817876339,0,0,41.66667,63.83333,51.3,0,9.8166666667,31.8,-5,15.9333333333,0,1009.09204102,1,0,0.819673663336932,0.819673663336932,0,0.819673663336932,-0.722453047661766,1259,"In-situ Conservation of Crop Wild Relatives through Enhanced Information Management and Field Application"
"45",2594.3972167969,4302.6020507813,248.7640931373,0.9290698171,310.2731481481,9.2027301788,0,89.9656071053,-17,-65,546.275,112.1,277.4479166667,30.525,23.075,28.0083333333,0,3272.83007812,1,0,0.937431788349155,0.937431788349155,0,0.937431788349155,-0.722453047661766,1259,"In-situ Conservation of Crop Wild Relatives through Enhanced Information Management and Field Application"
"54",1969.4373779297,2149.1430664063,655.7398568019,1.1046363115,65.9311926606,292.9481811523,0,0.2960401878,22,79,443.55,0.225,91.775,33.6,18.375,25.2791666667,7.6935123043,2204.42089844,1,-3,0.706510859421574,0.706510859421574,-4.24621923356723,0.706510859421574,-0.722453047661766,2342,"Conservation and Sustainable Management of Below Ground Biodiversity, Tranche 2"
