gef_id,tree.pred,project_location_id,id,type,dist_to_all_rivers.na.mean,dist_to_roads.na.mean,srtm_elevation_500m.na.mean,srtm_slope_500m.na.mean,accessibility_map.na.mean,gpw_v3_density.2000.mean,wdpa_5km.na.sum,treecover2000.na.mean,udel_precip_v4_01_yearly_mean.2002.mean,udel_air_temp_v4_01_yearly_mean.2002.mean,ltdr_yearly_ndvi_mean.2002.mean,propensity,latitude,longitude,Title,identical,source,program_type
2751,383.403632535,906001152939_1629652,1952,land,3620.2754558,12319.4640337,36.5912241574,0.574502134809,405.231526094,52.4458303253,0.0,43.9018035282,196.962227898,27.2875131688,2385.82580699,0.0787109231772,0.41006,101.659168,SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,906001152939_1629652,mfa3vout,BD
2751,60.3656046815,906001152939_1626196,1953,land,2064.26982704,3048.23515591,26.4146192844,0.419246872386,250.552860104,42.7620012196,0.0,80.7066450668,183.241666667,27.25,2944.17066957,0.110874302344,-2.840542,103.743498,SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,906001152939_1626196,mfa3vout,BD
2751,542.767741246,906001152939_1641898,1954,land,1114.17294407,30693.7098858,31.4030428048,0.373464607676,2017.26119227,6.84672883466,59.0200004578,80.6786085394,208.206698544,27.4312490477,2794.85924041,0.0026475880213,-2.090493,113.410168,SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,906001152939_1641898,mfa3vout,BD
2751,-26.654979543,906001152939_1626197,1955,land,2152.04479504,3905.06394031,642.381820837,10.2721012072,255.79156286,414.186131454,125.419998169,84.1274990663,157.649107228,22.4947517667,1701.48818195,0.417181694392,-1.090452,100.410168,SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,906001152939_1626197,mfa3vout,BD
2751,-524.140913366,906001152939_1215638,1956,land,2563.38679162,13642.7611401,1246.43415129,12.7752062586,1053.8135147,14.0223347116,48.0599975586,86.5333113874,122.476033417,19.2752504487,2384.45735456,0.0633334464139,3.909353,96.910168,SFM Rehabilitation and Sustainable Use of Peatland Forests in South-East Asia,906001152939_1215638,mfa3vout,BD
3635,-469.836055384,906001153067_1831132,2032,land,2458.59748602,2804.77029673,60.9347417669,0.414392303865,164.633266496,49.716264985,0.0,2.70220764425,45.9244397517,27.538176897,2617.36084468,0.0926867636636,11.407774,104.243498,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,906001153067_1831132,mfa3vout,BD
3635,-53.8948072649,906001153067_1831172,2033,land,1947.12688834,2602.67457725,21.556321677,0.253148832421,180.603214846,329.407992382,0.0,2.2974668466,91.6470277196,28.637726173,2304.95051438,0.122033661785,11.957595,105.160168,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,906001153067_1831172,mfa3vout,BD
3635,-469.836055384,906001153067_1831095,2034,land,1365.63641988,2103.73184167,7.89946932041,0.13948572341,59.8444719145,619.194256638,0.0,3.4600414134,61.2543791913,29.2684893129,2750.36895095,0.141448583664,11.32447,104.910168,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,906001153067_1831095,mfa3vout,BD
3635,-244.554691292,906001153067_1821310,2035,land,1741.24605082,1527.31023332,32.7211817089,0.580915075438,73.1936119314,101.99152216,0.0,3.23939633981,52.7947824107,28.0177975705,2508.42329004,0.130367965326,12.823964,102.993498,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,906001153067_1821310,mfa3vout,BD
3635,351.408479302,906001153067_1821939,2036,land,2381.13690135,5280.28661343,7.18917586233,0.170883758061,203.369179023,308.990265756,0.0,0.236902305199,66.5703237442,28.5414729142,1951.73426371,0.130258979477,10.824624,104.743498,SFM Strengthening Sustainable Forest Management and the Development of Bio-energy Markets to Promote Environmental Sustainability and to Reduce Green House Gas Emissions in Cambodia,906001153067_1821939,mfa3vout,BD
